"prompt","Generic Stable Diffusion","Pure Finetune","Positive","Contrastive","seed"
"A man wearing Korean traditional clothing","Korea/genericSD/Korean_traditional_clothing223.png","Korea/baseline/Korean_traditional_clothing223.png","Korea/positive/Korean_traditional_clothing223.png","Korea/contrastive/Korean_traditional_clothing223.png","223"
"A man wearing Korean traditional clothing","Korea/genericSD/Korean_traditional_clothing4758.png","Korea/baseline/Korean_traditional_clothing4758.png","Korea/positive/Korean_traditional_clothing4758.png","Korea/contrastive/Korean_traditional_clothing4758.png","4758"
"A man wearing Korean traditional clothing","Korea/genericSD/Korean_traditional_clothing528.png","Korea/baseline/Korean_traditional_clothing528.png","Korea/positive/Korean_traditional_clothing528.png","Korea/contrastive/Korean_traditional_clothing528.png","528"
"A man wearing Korean traditional clothing","Korea/genericSD/Korean_traditional_clothing74.png","Korea/baseline/Korean_traditional_clothing74.png","Korea/positive/Korean_traditional_clothing74.png","Korea/contrastive/Korean_traditional_clothing74.png","74"
"A man wearing Korean traditional clothing","Korea/genericSD/Korean_traditional_clothing8288.png","Korea/baseline/Korean_traditional_clothing8288.png","Korea/positive/Korean_traditional_clothing8288.png","Korea/contrastive/Korean_traditional_clothing8288.png","8288"
"Musician performing Korean traditional instrument","Korea/genericSD/Korean_traditional_instrument12.png","Korea/baseline/Korean_traditional_instrument12.png","Korea/positive/Korean_traditional_instrument12.png","Korea/contrastive/Korean_traditional_instrument12.png","12"
"Musician performing Korean traditional instrument","Korea/genericSD/Korean_traditional_instrument1239.png","Korea/baseline/Korean_traditional_instrument1239.png","Korea/positive/Korean_traditional_instrument1239.png","Korea/contrastive/Korean_traditional_instrument1239.png","1239"
"Musician performing Korean traditional instrument","Korea/genericSD/Korean_traditional_instrument12748.png","Korea/baseline/Korean_traditional_instrument12748.png","Korea/positive/Korean_traditional_instrument12748.png","Korea/contrastive/Korean_traditional_instrument12748.png","12748"
"Musician performing Korean traditional instrument","Korea/genericSD/Korean_traditional_instrument2823.png","Korea/baseline/Korean_traditional_instrument2823.png","Korea/positive/Korean_traditional_instrument2823.png","Korea/contrastive/Korean_traditional_instrument2823.png","2823"
"Musician performing Korean traditional instrument","Korea/genericSD/Korean_traditional_instrument4.png","Korea/baseline/Korean_traditional_instrument4.png","Korea/positive/Korean_traditional_instrument4.png","Korea/contrastive/Korean_traditional_instrument4.png","4"
"A traditional architecture in Korea","Korea/genericSD/architecture_in_Korea0.png","Korea/baseline/architecture_in_Korea0.png","Korea/positive/architecture_in_Korea0.png","Korea/contrastive/architecture_in_Korea0.png","0"
"A traditional architecture in Korea","Korea/genericSD/architecture_in_Korea1.png","Korea/baseline/architecture_in_Korea1.png","Korea/positive/architecture_in_Korea1.png","Korea/contrastive/architecture_in_Korea1.png","1"
"A traditional architecture in Korea","Korea/genericSD/architecture_in_Korea10.png","Korea/baseline/architecture_in_Korea10.png","Korea/positive/architecture_in_Korea10.png","Korea/contrastive/architecture_in_Korea10.png","10"
"A traditional architecture in Korea","Korea/genericSD/architecture_in_Korea15.png","Korea/baseline/architecture_in_Korea15.png","Korea/positive/architecture_in_Korea15.png","Korea/contrastive/architecture_in_Korea15.png","15"
"A traditional architecture in Korea","Korea/genericSD/architecture_in_Korea5.png","Korea/baseline/architecture_in_Korea5.png","Korea/positive/architecture_in_Korea5.png","Korea/contrastive/architecture_in_Korea5.png","5"
"Photo of a classroom, in Korea","Korea/genericSD/classroom_in_Korea12748.png","Korea/baseline/classroom_in_Korea12748.png","Korea/positive/classroom_in_Korea12748.png","Korea/contrastive/classroom_in_Korea12748.png","12748"
"Photo of a classroom, in Korea","Korea/genericSD/classroom_in_Korea2233.png","Korea/baseline/classroom_in_Korea2233.png","Korea/positive/classroom_in_Korea2233.png","Korea/contrastive/classroom_in_Korea2233.png","2233"
"Photo of a classroom, in Korea","Korea/genericSD/classroom_in_Korea2759.png","Korea/baseline/classroom_in_Korea2759.png","Korea/positive/classroom_in_Korea2759.png","Korea/contrastive/classroom_in_Korea2759.png","2759"
"Photo of a classroom, in Korea","Korea/genericSD/classroom_in_Korea4758.png","Korea/baseline/classroom_in_Korea4758.png","Korea/positive/classroom_in_Korea4758.png","Korea/contrastive/classroom_in_Korea4758.png","4758"
