"prompt","Generic Stable Diffusion","Pure Finetune","Positive","Contrastive","seed"
"People are performing traditional instrument, in China","China/genericSD/Chinese_traditional_instrument14.png","China/baseline/Chinese_traditional_instrument14.png","China/positive/Chinese_traditional_instrument14.png","China/contrastive/Chinese_traditional_instrument14.png","14"
"People are performing traditional instrument, in China","China/genericSD/Chinese_traditional_instrument15.png","China/baseline/Chinese_traditional_instrument15.png","China/positive/Chinese_traditional_instrument15.png","China/contrastive/Chinese_traditional_instrument15.png","15"
"Photo of a bedroom, in China","China/genericSD/bedroom_in_China12345.png","China/baseline/bedroom_in_China12345.png","China/positive/bedroom_in_China12345.png","China/contrastive/bedroom_in_China12345.png","12345"
"Photo of a bedroom, in China","China/genericSD/bedroom_in_China223.png","China/baseline/bedroom_in_China223.png","China/positive/bedroom_in_China223.png","China/contrastive/bedroom_in_China223.png","223"
"Photo of a bedroom, in China","China/genericSD/bedroom_in_China528.png","China/baseline/bedroom_in_China528.png","China/positive/bedroom_in_China528.png","China/contrastive/bedroom_in_China528.png","528"
"Photo of a bedroom, in China","China/genericSD/bedroom_in_China74.png","China/baseline/bedroom_in_China74.png","China/positive/bedroom_in_China74.png","China/contrastive/bedroom_in_China74.png","74"
"Photo of a bedroom, in China","China/genericSD/bedroom_in_China7410.png","China/baseline/bedroom_in_China7410.png","China/positive/bedroom_in_China7410.png","China/contrastive/bedroom_in_China7410.png","7410"
"An avocado chair in the city in China","China/genericSD/city_in_China223.png","China/baseline/city_in_China223.png","China/positive/city_in_China223.png","China/contrastive/city_in_China223.png","223"
"An avocado chair in the city in China","China/genericSD/city_in_China528.png","China/baseline/city_in_China528.png","China/positive/city_in_China528.png","China/contrastive/city_in_China528.png","528"
"An avocado chair in the city in China","China/genericSD/city_in_China74.png","China/baseline/city_in_China74.png","China/positive/city_in_China74.png","China/contrastive/city_in_China74.png","74"
"Photo of a classroom, in China","China/genericSD/classroom_in_China144.png","China/baseline/classroom_in_China144.png","China/positive/classroom_in_China144.png","China/contrastive/classroom_in_China144.png","144"
"Photo of a classroom, in China","China/genericSD/classroom_in_China49771.png","China/baseline/classroom_in_China49771.png","China/positive/classroom_in_China49771.png","China/contrastive/classroom_in_China49771.png","49771"
"Photo of a classroom, in China","China/genericSD/classroom_in_China64452.png","China/baseline/classroom_in_China64452.png","China/positive/classroom_in_China64452.png","China/contrastive/classroom_in_China64452.png","64452"
"Photo of a classroom, in China","China/genericSD/classroom_in_China7705.png","China/baseline/classroom_in_China7705.png","China/positive/classroom_in_China7705.png","China/contrastive/classroom_in_China7705.png","7705"
"People wearing traditional clothing, in China","China/genericSD/clothing_in_China0.png","China/baseline/clothing_in_China0.png","China/positive/clothing_in_China0.png","China/contrastive/clothing_in_China0.png","0"
"People wearing traditional clothing, in China","China/genericSD/clothing_in_China1.png","China/baseline/clothing_in_China1.png","China/positive/clothing_in_China1.png","China/contrastive/clothing_in_China1.png","1"
"People wearing traditional clothing, in China","China/genericSD/clothing_in_China16.png","China/baseline/clothing_in_China16.png","China/positive/clothing_in_China16.png","China/contrastive/clothing_in_China16.png","16"
"People wearing traditional clothing, in China","China/genericSD/clothing_in_China17.png","China/baseline/clothing_in_China17.png","China/positive/clothing_in_China17.png","China/contrastive/clothing_in_China17.png","17"
"People wearing traditional clothing, in China","China/genericSD/clothing_in_China18.png","China/baseline/clothing_in_China18.png","China/positive/clothing_in_China18.png","China/contrastive/clothing_in_China18.png","18"
"People wearing traditional clothing, in China","China/genericSD/clothing_in_China19.png","China/baseline/clothing_in_China19.png","China/positive/clothing_in_China19.png","China/contrastive/clothing_in_China19.png","19"
"People wearing traditional clothing, in China","China/genericSD/clothing_in_China2.png","China/baseline/clothing_in_China2.png","China/positive/clothing_in_China2.png","China/contrastive/clothing_in_China2.png","2"
"People wearing traditional clothing, in China","China/genericSD/clothing_in_China4.png","China/baseline/clothing_in_China4.png","China/positive/clothing_in_China4.png","China/contrastive/clothing_in_China4.png","4"
"People wearing traditional clothing, in China","China/genericSD/clothing_in_China6.png","China/baseline/clothing_in_China6.png","China/positive/clothing_in_China6.png","China/contrastive/clothing_in_China6.png","6"
"Musicians are practicing traditional Chinese intrument,guzheng and pipa","China/genericSD/intrument_guzheng_and_pipa144.png","China/baseline/intrument_guzheng_and_pipa144.png","China/positive/intrument_guzheng_and_pipa144.png","China/contrastive/intrument_guzheng_and_pipa144.png","144"
"Musicians are practicing traditional Chinese intrument,guzheng and pipa","China/genericSD/intrument_guzheng_and_pipa49238.png","China/baseline/intrument_guzheng_and_pipa49238.png","China/positive/intrument_guzheng_and_pipa49238.png","China/contrastive/intrument_guzheng_and_pipa49238.png","49238"
"Musicians are practicing traditional Chinese intrument,guzheng and pipa","China/genericSD/intrument_guzheng_and_pipa8288.png","China/baseline/intrument_guzheng_and_pipa8288.png","China/positive/intrument_guzheng_and_pipa8288.png","China/contrastive/intrument_guzheng_and_pipa8288.png","8288"
"Musicians are practicing traditional Chinese intrument,guzheng and pipa","China/genericSD/intrument_guzheng_and_pipa9678.png","China/baseline/intrument_guzheng_and_pipa9678.png","China/positive/intrument_guzheng_and_pipa9678.png","China/contrastive/intrument_guzheng_and_pipa9678.png","9678"
"Photo of a school, in China","China/genericSD/school_in_China10551.png","China/baseline/school_in_China10551.png","China/positive/school_in_China10551.png","China/contrastive/school_in_China10551.png","10551"
"Photo of a school, in China","China/genericSD/school_in_China49238.png","China/baseline/school_in_China49238.png","China/positive/school_in_China49238.png","China/contrastive/school_in_China49238.png","49238"
"Photo of a school, in China","China/genericSD/school_in_China7705.png","China/baseline/school_in_China7705.png","China/positive/school_in_China7705.png","China/contrastive/school_in_China7705.png","7705"
"Photo of a street, in China","China/genericSD/street_in_China1024.png","China/baseline/street_in_China1024.png","China/positive/street_in_China1024.png","China/contrastive/street_in_China1024.png","1024"
"Photo of a street, in China","China/genericSD/street_in_China10551.png","China/baseline/street_in_China10551.png","China/positive/street_in_China10551.png","China/contrastive/street_in_China10551.png","10551"
"Photo of a street, in China","China/genericSD/street_in_China223.png","China/baseline/street_in_China223.png","China/positive/street_in_China223.png","China/contrastive/street_in_China223.png","223"
"Photo of a street, in China","China/genericSD/street_in_China22969.png","China/baseline/street_in_China22969.png","China/positive/street_in_China22969.png","China/contrastive/street_in_China22969.png","22969"
"Photo of a street, in China","China/genericSD/street_in_China74.png","China/baseline/street_in_China74.png","China/positive/street_in_China74.png","China/contrastive/street_in_China74.png","74"
"Photo of a street, in China","China/genericSD/street_in_China9678.png","China/baseline/street_in_China9678.png","China/positive/street_in_China9678.png","China/contrastive/street_in_China9678.png","9678"
"Woman is painting in a traditional style, in China","China/genericSD/style_in_China223.png","China/baseline/style_in_China223.png","China/positive/style_in_China223.png","China/contrastive/style_in_China223.png","223"
"Woman is painting in a traditional style, in China","China/genericSD/style_in_China50102.png","China/baseline/style_in_China50102.png","China/positive/style_in_China50102.png","China/contrastive/style_in_China50102.png","50102"
"Woman is painting in a traditional style, in China","China/genericSD/style_in_China61771.png","China/baseline/style_in_China61771.png","China/positive/style_in_China61771.png","China/contrastive/style_in_China61771.png","61771"
"Woman is painting in a traditional style, in China","China/genericSD/style_in_China8288.png","China/baseline/style_in_China8288.png","China/positive/style_in_China8288.png","China/contrastive/style_in_China8288.png","8288"
"Woman is painting in a traditional style, in China","China/genericSD/style_in_China9678.png","China/baseline/style_in_China9678.png","China/positive/style_in_China9678.png","China/contrastive/style_in_China9678.png","9678"
"Family is eating together, in China","China/genericSD/together_in_China1.png","China/baseline/together_in_China1.png","China/positive/together_in_China1.png","China/contrastive/together_in_China1.png","1"
"Family is eating together, in China","China/genericSD/together_in_China13.png","China/baseline/together_in_China13.png","China/positive/together_in_China13.png","China/contrastive/together_in_China13.png","13"
"Family is eating together, in China","China/genericSD/together_in_China15.png","China/baseline/together_in_China15.png","China/positive/together_in_China15.png","China/contrastive/together_in_China15.png","15"
"Family is eating together, in China","China/genericSD/together_in_China6.png","China/baseline/together_in_China6.png","China/positive/together_in_China6.png","China/contrastive/together_in_China6.png","6"
"Family is eating together, in China","China/genericSD/together_in_China7.png","China/baseline/together_in_China7.png","China/positive/together_in_China7.png","China/contrastive/together_in_China7.png","7"
"Dancers are performing traditional Chinese dance","China/genericSD/traditional_Chinese_dance0.png","China/baseline/traditional_Chinese_dance0.png","China/positive/traditional_Chinese_dance0.png","China/contrastive/traditional_Chinese_dance0.png","0"
"Dancers are performing traditional Chinese dance","China/genericSD/traditional_Chinese_dance1.png","China/baseline/traditional_Chinese_dance1.png","China/positive/traditional_Chinese_dance1.png","China/contrastive/traditional_Chinese_dance1.png","1"
"Dancers are performing traditional Chinese dance","China/genericSD/traditional_Chinese_dance10.png","China/baseline/traditional_Chinese_dance10.png","China/positive/traditional_Chinese_dance10.png","China/contrastive/traditional_Chinese_dance10.png","10"
"Dancers are performing traditional Chinese dance","China/genericSD/traditional_Chinese_dance11.png","China/baseline/traditional_Chinese_dance11.png","China/positive/traditional_Chinese_dance11.png","China/contrastive/traditional_Chinese_dance11.png","11"
"Dancers are performing traditional Chinese dance","China/genericSD/traditional_Chinese_dance2.png","China/baseline/traditional_Chinese_dance2.png","China/positive/traditional_Chinese_dance2.png","China/contrastive/traditional_Chinese_dance2.png","2"
"Two girls wearing Chinese traditional Han dress","China/genericSD/traditional_Han_dress0.png","China/baseline/traditional_Han_dress0.png","China/positive/traditional_Han_dress0.png","China/contrastive/traditional_Han_dress0.png","0"
"Two girls wearing Chinese traditional Han dress","China/genericSD/traditional_Han_dress1.png","China/baseline/traditional_Han_dress1.png","China/positive/traditional_Han_dress1.png","China/contrastive/traditional_Han_dress1.png","1"
"Two girls wearing Chinese traditional Han dress","China/genericSD/traditional_Han_dress10.png","China/baseline/traditional_Han_dress10.png","China/positive/traditional_Han_dress10.png","China/contrastive/traditional_Han_dress10.png","10"
"Two girls wearing Chinese traditional Han dress","China/genericSD/traditional_Han_dress13.png","China/baseline/traditional_Han_dress13.png","China/positive/traditional_Han_dress13.png","China/contrastive/traditional_Han_dress13.png","13"
"Two girls wearing Chinese traditional Han dress","China/genericSD/traditional_Han_dress16.png","China/baseline/traditional_Han_dress16.png","China/positive/traditional_Han_dress16.png","China/contrastive/traditional_Han_dress16.png","16"
"Two girls wearing Chinese traditional Han dress","China/genericSD/traditional_Han_dress18.png","China/baseline/traditional_Han_dress18.png","China/positive/traditional_Han_dress18.png","China/contrastive/traditional_Han_dress18.png","18"
"Two girls wearing Chinese traditional Han dress","China/genericSD/traditional_Han_dress19.png","China/baseline/traditional_Han_dress19.png","China/positive/traditional_Han_dress19.png","China/contrastive/traditional_Han_dress19.png","19"
"Two girls wearing Chinese traditional Han dress","China/genericSD/traditional_Han_dress2.png","China/baseline/traditional_Han_dress2.png","China/positive/traditional_Han_dress2.png","China/contrastive/traditional_Han_dress2.png","2"
"Two girls wearing Chinese traditional Han dress","China/genericSD/traditional_Han_dress9.png","China/baseline/traditional_Han_dress9.png","China/positive/traditional_Han_dress9.png","China/contrastive/traditional_Han_dress9.png","9"
