"prompt","Generic Stable Diffusion","Pure Finetune","Positive","Contrastive","seed"
"Photo of a bedroom, in Nigeria","Nigeria/genericSD/bedroom_in_Nigeria1239.png","Nigeria/baseline/bedroom_in_Nigeria1239.png","Nigeria/positive/bedroom_in_Nigeria1239.png","Nigeria/contrastive/bedroom_in_Nigeria1239.png","1239"
"Photo of a bedroom, in Nigeria","Nigeria/genericSD/bedroom_in_Nigeria4758.png","Nigeria/baseline/bedroom_in_Nigeria4758.png","Nigeria/positive/bedroom_in_Nigeria4758.png","Nigeria/contrastive/bedroom_in_Nigeria4758.png","4758"
"Photo of a bedroom, in Nigeria","Nigeria/genericSD/bedroom_in_Nigeria62681.png","Nigeria/baseline/bedroom_in_Nigeria62681.png","Nigeria/positive/bedroom_in_Nigeria62681.png","Nigeria/contrastive/bedroom_in_Nigeria62681.png","62681"
"Nigerian people in casual clothing nowadays","Nigeria/genericSD/casual_clothing_nowadays11.png","Nigeria/baseline/casual_clothing_nowadays11.png","Nigeria/positive/casual_clothing_nowadays11.png","Nigeria/contrastive/casual_clothing_nowadays11.png","11"
"Nigerian people in casual clothing nowadays","Nigeria/genericSD/casual_clothing_nowadays17.png","Nigeria/baseline/casual_clothing_nowadays17.png","Nigeria/positive/casual_clothing_nowadays17.png","Nigeria/contrastive/casual_clothing_nowadays17.png","17"
"Nigerian people in casual clothing nowadays","Nigeria/genericSD/casual_clothing_nowadays2.png","Nigeria/baseline/casual_clothing_nowadays2.png","Nigeria/positive/casual_clothing_nowadays2.png","Nigeria/contrastive/casual_clothing_nowadays2.png","2"
"Nigerian people in casual clothing nowadays","Nigeria/genericSD/casual_clothing_nowadays5.png","Nigeria/baseline/casual_clothing_nowadays5.png","Nigeria/positive/casual_clothing_nowadays5.png","Nigeria/contrastive/casual_clothing_nowadays5.png","5"
"Nigerian people in casual clothing nowadays","Nigeria/genericSD/casual_clothing_nowadays6.png","Nigeria/baseline/casual_clothing_nowadays6.png","Nigeria/positive/casual_clothing_nowadays6.png","Nigeria/contrastive/casual_clothing_nowadays6.png","6"
"Nigerian people in casual clothing nowadays","Nigeria/genericSD/casual_clothing_nowadays7.png","Nigeria/baseline/casual_clothing_nowadays7.png","Nigeria/positive/casual_clothing_nowadays7.png","Nigeria/contrastive/casual_clothing_nowadays7.png","7"
"People wearing traditional clothing, in Nigeria","Nigeria/genericSD/clothing_in_Nigeria0.png","Nigeria/baseline/clothing_in_Nigeria0.png","Nigeria/positive/clothing_in_Nigeria0.png","Nigeria/contrastive/clothing_in_Nigeria0.png","0"
"People wearing traditional clothing, in Nigeria","Nigeria/genericSD/clothing_in_Nigeria10.png","Nigeria/baseline/clothing_in_Nigeria10.png","Nigeria/positive/clothing_in_Nigeria10.png","Nigeria/contrastive/clothing_in_Nigeria10.png","10"
"People wearing traditional clothing, in Nigeria","Nigeria/genericSD/clothing_in_Nigeria17.png","Nigeria/baseline/clothing_in_Nigeria17.png","Nigeria/positive/clothing_in_Nigeria17.png","Nigeria/contrastive/clothing_in_Nigeria17.png","17"
"People wearing traditional clothing, in Nigeria","Nigeria/genericSD/clothing_in_Nigeria18.png","Nigeria/baseline/clothing_in_Nigeria18.png","Nigeria/positive/clothing_in_Nigeria18.png","Nigeria/contrastive/clothing_in_Nigeria18.png","18"
"People wearing traditional clothing, in Nigeria","Nigeria/genericSD/clothing_in_Nigeria5.png","Nigeria/baseline/clothing_in_Nigeria5.png","Nigeria/positive/clothing_in_Nigeria5.png","Nigeria/contrastive/clothing_in_Nigeria5.png","5"
"Dancers are performing for a crowd, in Nigeria","Nigeria/genericSD/crowd_in_Nigeria2233.png","Nigeria/baseline/crowd_in_Nigeria2233.png","Nigeria/positive/crowd_in_Nigeria2233.png","Nigeria/contrastive/crowd_in_Nigeria2233.png","2233"
