"prompt","seed","Generic Stable Diffusion","Pure Finetune","Positive","Contrastive"
"People inside their apartment, in India","21001","India/genericSD/apartment_in_India21001.png","India/baseline/apartment_in_India21001.png","India/positive/apartment_in_India21001.png","India/contrastive/apartment_in_India21001.png"
"People inside their apartment, in India","43448","India/genericSD/apartment_in_India43448.png","India/baseline/apartment_in_India43448.png","India/positive/apartment_in_India43448.png","India/contrastive/apartment_in_India43448.png"
"People inside their apartment, in India","44333","India/genericSD/apartment_in_India44333.png","India/baseline/apartment_in_India44333.png","India/positive/apartment_in_India44333.png","India/contrastive/apartment_in_India44333.png"
"People inside their apartment, in India","48232","India/genericSD/apartment_in_India48232.png","India/baseline/apartment_in_India48232.png","India/positive/apartment_in_India48232.png","India/contrastive/apartment_in_India48232.png"
"People inside their apartment, in India","64011","India/genericSD/apartment_in_India64011.png","India/baseline/apartment_in_India64011.png","India/positive/apartment_in_India64011.png","India/contrastive/apartment_in_India64011.png"
"People inside their apartment, in India","74","India/genericSD/apartment_in_India74.png","India/baseline/apartment_in_India74.png","India/positive/apartment_in_India74.png","India/contrastive/apartment_in_India74.png"
"People wearing traditional clothing, in India","14763","India/genericSD/clothing_in_India14763.png","India/baseline/clothing_in_India14763.png","India/positive/clothing_in_India14763.png","India/contrastive/clothing_in_India14763.png"
"People wearing traditional clothing, in India","21001","India/genericSD/clothing_in_India21001.png","India/baseline/clothing_in_India21001.png","India/positive/clothing_in_India21001.png","India/contrastive/clothing_in_India21001.png"
"People wearing traditional clothing, in India","29105","India/genericSD/clothing_in_India29105.png","India/baseline/clothing_in_India29105.png","India/positive/clothing_in_India29105.png","India/contrastive/clothing_in_India29105.png"
"People wearing traditional clothing, in India","48232","India/genericSD/clothing_in_India48232.png","India/baseline/clothing_in_India48232.png","India/positive/clothing_in_India48232.png","India/contrastive/clothing_in_India48232.png"
"People wearing traditional clothing, in India","528","India/genericSD/clothing_in_India528.png","India/baseline/clothing_in_India528.png","India/positive/clothing_in_India528.png","India/contrastive/clothing_in_India528.png"
"People wearing traditional clothing, in India","98","India/genericSD/clothing_in_India98.png","India/baseline/clothing_in_India98.png","India/positive/clothing_in_India98.png","India/contrastive/clothing_in_India98.png"
"Dancers are performing traditional dancing, in India","14763","India/genericSD/dancing_in_India14763.png","India/baseline/dancing_in_India14763.png","India/positive/dancing_in_India14763.png","India/contrastive/dancing_in_India14763.png"
"Dancers are performing traditional dancing, in India","15738","India/genericSD/dancing_in_India15738.png","India/baseline/dancing_in_India15738.png","India/positive/dancing_in_India15738.png","India/contrastive/dancing_in_India15738.png"
"Dancers are performing traditional dancing, in India","21001","India/genericSD/dancing_in_India21001.png","India/baseline/dancing_in_India21001.png","India/positive/dancing_in_India21001.png","India/contrastive/dancing_in_India21001.png"
"Dancers are performing traditional dancing, in India","5594","India/genericSD/dancing_in_India5594.png","India/baseline/dancing_in_India5594.png","India/positive/dancing_in_India5594.png","India/contrastive/dancing_in_India5594.png"
"Dancers are performing traditional dancing, in India","98","India/genericSD/dancing_in_India98.png","India/baseline/dancing_in_India98.png","India/positive/dancing_in_India98.png","India/contrastive/dancing_in_India98.png"
"Photo of a family, in India","223","India/genericSD/family_in_India223.png","India/baseline/family_in_India223.png","India/positive/family_in_India223.png","India/contrastive/family_in_India223.png"
"Photo of a family, in India","44333","India/genericSD/family_in_India44333.png","India/baseline/family_in_India44333.png","India/positive/family_in_India44333.png","India/contrastive/family_in_India44333.png"
"Photo of a family, in India","48123","India/genericSD/family_in_India48123.png","India/baseline/family_in_India48123.png","India/positive/family_in_India48123.png","India/contrastive/family_in_India48123.png"
"Photo of a family, in India","5594","India/genericSD/family_in_India5594.png","India/baseline/family_in_India5594.png","India/positive/family_in_India5594.png","India/contrastive/family_in_India5594.png"
"Photo of a family, in India","60861","India/genericSD/family_in_India60861.png","India/baseline/family_in_India60861.png","India/positive/family_in_India60861.png","India/contrastive/family_in_India60861.png"
"Photo of a family, in India","61741","India/genericSD/family_in_India61741.png","India/baseline/family_in_India61741.png","India/positive/family_in_India61741.png","India/contrastive/family_in_India61741.png"
"People inside their house, in India","5594","India/genericSD/house_in_India5594.png","India/baseline/house_in_India5594.png","India/positive/house_in_India5594.png","India/contrastive/house_in_India5594.png"
"People inside their house, in India","98","India/genericSD/house_in_India98.png","India/baseline/house_in_India98.png","India/positive/house_in_India98.png","India/contrastive/house_in_India98.png"
"Photo of an architecture in Indian city","21001","India/genericSD/in_Indian_city21001.png","India/baseline/in_Indian_city21001.png","India/positive/in_Indian_city21001.png","India/contrastive/in_Indian_city21001.png"
"Photo of an architecture in Indian city","29105","India/genericSD/in_Indian_city29105.png","India/baseline/in_Indian_city29105.png","India/positive/in_Indian_city29105.png","India/contrastive/in_Indian_city29105.png"
"Photo of an architecture in Indian city","48123","India/genericSD/in_Indian_city48123.png","India/baseline/in_Indian_city48123.png","India/positive/in_Indian_city48123.png","India/contrastive/in_Indian_city48123.png"
"Photo of an architecture in Indian city","5594","India/genericSD/in_Indian_city5594.png","India/baseline/in_Indian_city5594.png","India/positive/in_Indian_city5594.png","India/contrastive/in_Indian_city5594.png"
"Photo of an architecture in Indian city","58470","India/genericSD/in_Indian_city58470.png","India/baseline/in_Indian_city58470.png","India/positive/in_Indian_city58470.png","India/contrastive/in_Indian_city58470.png"
"Photo of an architecture in Indian city","98","India/genericSD/in_Indian_city98.png","India/baseline/in_Indian_city98.png","India/positive/in_Indian_city98.png","India/contrastive/in_Indian_city98.png"
"Musicians are practicing traditional instrument together, in India","43448","India/genericSD/instrument_in_India43448.png","India/baseline/instrument_in_India43448.png","India/positive/instrument_in_India43448.png","India/contrastive/instrument_in_India43448.png"
"Musicians are practicing traditional instrument together, in India","44333","India/genericSD/instrument_in_India44333.png","India/baseline/instrument_in_India44333.png","India/positive/instrument_in_India44333.png","India/contrastive/instrument_in_India44333.png"
"Musicians are practicing traditional instrument together, in India","48123","India/genericSD/instrument_in_India48123.png","India/baseline/instrument_in_India48123.png","India/positive/instrument_in_India48123.png","India/contrastive/instrument_in_India48123.png"
