prompt,seed,Generic Stable Diffusion,Pure Finetune,Positive,Contrastive
"Photo of a building, in Mexico",62681,Mexico/genericSD/building_in_Mexico62681.png,Mexico/baseline/building_in_Mexico62681.png,Mexico/positive/building_in_Mexico62681.png,Mexico/contrastive/building_in_Mexico62681.png
"Photo of a building, in Mexico",74,Mexico/genericSD/building_in_Mexico74.png,Mexico/baseline/building_in_Mexico74.png,Mexico/positive/building_in_Mexico74.png,Mexico/contrastive/building_in_Mexico74.png
"People wearing traditional clothing, in Mexico",14763,Mexico/genericSD/clothing_in_Mexico14763.png,Mexico/baseline/clothing_in_Mexico14763.png,Mexico/positive/clothing_in_Mexico14763.png,Mexico/contrastive/clothing_in_Mexico14763.png
"People wearing traditional clothing, in Mexico",15738,Mexico/genericSD/clothing_in_Mexico15738.png,Mexico/baseline/clothing_in_Mexico15738.png,Mexico/positive/clothing_in_Mexico15738.png,Mexico/contrastive/clothing_in_Mexico15738.png
"People wearing traditional clothing, in Mexico",21001,Mexico/genericSD/clothing_in_Mexico21001.png,Mexico/baseline/clothing_in_Mexico21001.png,Mexico/positive/clothing_in_Mexico21001.png,Mexico/contrastive/clothing_in_Mexico21001.png
"People wearing traditional clothing, in Mexico",48123,Mexico/genericSD/clothing_in_Mexico48123.png,Mexico/baseline/clothing_in_Mexico48123.png,Mexico/positive/clothing_in_Mexico48123.png,Mexico/contrastive/clothing_in_Mexico48123.png
"People wearing traditional clothing, in Mexico",5594,Mexico/genericSD/clothing_in_Mexico5594.png,Mexico/baseline/clothing_in_Mexico5594.png,Mexico/positive/clothing_in_Mexico5594.png,Mexico/contrastive/clothing_in_Mexico5594.png
"Dancers are performing traditional dancing, in Mexico",14763,Mexico/genericSD/dancing_in_Mexico14763.png,Mexico/baseline/dancing_in_Mexico14763.png,Mexico/positive/dancing_in_Mexico14763.png,Mexico/contrastive/dancing_in_Mexico14763.png
"Dancers are performing traditional dancing, in Mexico",15738,Mexico/genericSD/dancing_in_Mexico15738.png,Mexico/baseline/dancing_in_Mexico15738.png,Mexico/positive/dancing_in_Mexico15738.png,Mexico/contrastive/dancing_in_Mexico15738.png
"Dancers are performing traditional dancing, in Mexico",21001,Mexico/genericSD/dancing_in_Mexico21001.png,Mexico/baseline/dancing_in_Mexico21001.png,Mexico/positive/dancing_in_Mexico21001.png,Mexico/contrastive/dancing_in_Mexico21001.png
"Dancers are performing traditional dancing, in Mexico",48123,Mexico/genericSD/dancing_in_Mexico48123.png,Mexico/baseline/dancing_in_Mexico48123.png,Mexico/positive/dancing_in_Mexico48123.png,Mexico/contrastive/dancing_in_Mexico48123.png
"Dancers are performing traditional dancing, in Mexico",98,Mexico/genericSD/dancing_in_Mexico98.png,Mexico/baseline/dancing_in_Mexico98.png,Mexico/positive/dancing_in_Mexico98.png,Mexico/contrastive/dancing_in_Mexico98.png
"Photo of a family, in Mexico",12345,Mexico/genericSD/family_in_Mexico12345.png,Mexico/baseline/family_in_Mexico12345.png,Mexico/positive/family_in_Mexico12345.png,Mexico/contrastive/family_in_Mexico12345.png
"Photo of a family, in Mexico",15738,Mexico/genericSD/family_in_Mexico15738.png,Mexico/baseline/family_in_Mexico15738.png,Mexico/positive/family_in_Mexico15738.png,Mexico/contrastive/family_in_Mexico15738.png
"Photo of a family, in Mexico",2823,Mexico/genericSD/family_in_Mexico2823.png,Mexico/baseline/family_in_Mexico2823.png,Mexico/positive/family_in_Mexico2823.png,Mexico/contrastive/family_in_Mexico2823.png
"Photo of a family, in Mexico",62681,Mexico/genericSD/family_in_Mexico62681.png,Mexico/baseline/family_in_Mexico62681.png,Mexico/positive/family_in_Mexico62681.png,Mexico/contrastive/family_in_Mexico62681.png
"Photo of a family, in Mexico",74,Mexico/genericSD/family_in_Mexico74.png,Mexico/baseline/family_in_Mexico74.png,Mexico/positive/family_in_Mexico74.png,Mexico/contrastive/family_in_Mexico74.png
"Photo of a house, in Mexico",54563,Mexico/genericSD/house_in_Mexico54563.png,Mexico/baseline/house_in_Mexico54563.png,Mexico/positive/house_in_Mexico54563.png,Mexico/contrastive/house_in_Mexico54563.png
"Photo of a house, in Mexico",60861,Mexico/genericSD/house_in_Mexico60861.png,Mexico/baseline/house_in_Mexico60861.png,Mexico/positive/house_in_Mexico60861.png,Mexico/contrastive/house_in_Mexico60861.png
"Photo of a house, in Mexico",62681,Mexico/genericSD/house_in_Mexico62681.png,Mexico/baseline/house_in_Mexico62681.png,Mexico/positive/house_in_Mexico62681.png,Mexico/contrastive/house_in_Mexico62681.png
"Photo of a house, in Mexico",98,Mexico/genericSD/house_in_Mexico98.png,Mexico/baseline/house_in_Mexico98.png,Mexico/positive/house_in_Mexico98.png,Mexico/contrastive/house_in_Mexico98.png
People celebrating Mexico day of the dead,43448,Mexico/genericSD/of_the_dead43448.png,Mexico/baseline/of_the_dead43448.png,Mexico/positive/of_the_dead43448.png,Mexico/contrastive/of_the_dead43448.png
People celebrating Mexico day of the dead,44333,Mexico/genericSD/of_the_dead44333.png,Mexico/baseline/of_the_dead44333.png,Mexico/positive/of_the_dead44333.png,Mexico/contrastive/of_the_dead44333.png
People celebrating Mexico day of the dead,98,Mexico/genericSD/of_the_dead98.png,Mexico/baseline/of_the_dead98.png,Mexico/positive/of_the_dead98.png,Mexico/contrastive/of_the_dead98.png
"Photo of a school, in Mexico",21001,Mexico/genericSD/school_in_Mexico21001.png,Mexico/baseline/school_in_Mexico21001.png,Mexico/positive/school_in_Mexico21001.png,Mexico/contrastive/school_in_Mexico21001.png
"Photo of a school, in Mexico",54563,Mexico/genericSD/school_in_Mexico54563.png,Mexico/baseline/school_in_Mexico54563.png,Mexico/positive/school_in_Mexico54563.png,Mexico/contrastive/school_in_Mexico54563.png
